tcp.stream,time.delta.prevPkt,kalive.Violated,Direction,mqtt.len,mqtt.msgtype,mqtt.hdr_reserved,mqtt.qos,mqtt.dupflag,msgid_value,msgid_is_present,mqtt.topic_len,topic_depth,mqtt.topic.null,mqtt.topic.wildcard,mqtt.topic.invalidUTF,mqtt.topic.empty,mqtt.willtopic_len,mqtt.willtopic.null,mqtt.willtopic.wildcard,mqtt.willtopic.empty,mqtt.willmsg_len,mqtt.msg.empty,mqtt.conflag.willflag,protoname_is_valid,mqtt.kalive,mqtt.conflag.reserved,mqtt.connack.reason_code,mqtt.disconnect.reason_code,mqtt.subscription_options_numeric,mqtt.subscription_options_reserved_numeric,mqtt.suback.reason_code_numeric,mqtt.unsuback.reason_code_numeric,suback_out_of_order,unsuback_out_of_order,subscribe_msgid_mismatch,unsubscribe_msgid_mismatch,subscribe_ack_missing,unsubscribe_ack_missing,pending_subscribe_count,pending_unsubscribe_count,msgid_order_deviation,pingreq_missing,time_since_last_client_control,ping.missed,seq_position,seq_length,is_first_packet,is_same_frame,Target,Tag
2,1.691951,0,2,75,3,0.0,1.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.702661,0,4,11,0,0,0,-1
2,0.002397,0,3,2,4,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0023969999999999825,0,5,11,0,0,0,-1
2,0.700911,0,2,75,3,0.0,1.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7033079999999998,0,6,11,0,0,0,-1
2,0.00341,0,3,2,4,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.003410000000000135,0,7,11,0,0,0,-1
2,0.659148,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.6625580000000002,0,8,11,0,0,0,-1
2,0.002272,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0022720000000000518,0,9,11,0,0,0,-1
2,2.025769,0,2,0,14,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.0280409999999995,0,10,11,0,0,0,-1
3,0.0,0,2,89,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9,1,0,0,-1
3,0.005745,0,3,48,2,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.005745,0,1,9,0,0,0,-1
3,5.853986,0,2,0,12,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5.859731,0,2,9,0,0,0,-1
3,0.004824,0,3,0,13,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0048240000000001615,0,3,9,0,0,0,-1
3,0.434691,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4395150000000001,0,4,9,0,0,0,-1
3,0.00377,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.003770000000000273,0,5,9,0,0,0,-1
3,1.21378,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.2175500000000001,0,6,9,0,0,0,-1
3,0.00298,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0029799999999999827,0,7,9,0,0,0,-1
3,1.947354,0,2,0,14,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.9503340000000007,0,8,9,0,0,0,-1
4,0.0,0,2,97,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,38.0,0.0,1,1,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,41,1,0,0,-1
4,0.009106,0,3,9,2,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.009106,0,1,41,0,0,0,-1
4,0.01157,0,2,120,3,0.0,2.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.020676,0,2,41,0,0,0,-1
4,0.008112,0,3,2,5,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.008112000000000001,0,3,41,0,0,0,-1
4,0.014964,0,2,2,6,2.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.023076,0,4,41,0,0,0,-1
4,0.004129,0,3,2,7,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.004129000000000001,0,5,41,0,0,0,-1
4,0.471951,0,2,40,8,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.47607999999999995,0,6,41,0,0,0,-1
4,0.004126,0,3,4,9,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.004125999999999963,0,7,41,0,0,0,-1
4,1.137171,0,2,120,3,0.0,2.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.1412969999999998,0,8,41,0,0,0,-1
4,0.00306,0,3,2,5,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0030600000000000627,0,9,41,0,0,0,-1
4,0.005461,0,2,2,6,2.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.008521,0,10,41,0,0,0,-1
4,0.002454,0,3,2,7,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.002453999999999956,0,11,41,0,0,0,-1
4,0.627029,0,2,40,8,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.629483,0,12,41,0,0,0,-1
4,0.005467,0,3,4,9,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0.005466999999999889,0,13,41,0,0,0,-1
4,1.358733,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.3641999999999999,0,14,41,0,0,0,-1
4,0.003737,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0037370000000001014,0,15,41,0,0,0,-1
4,1.191585,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.195322,0,16,41,0,0,0,-1
4,0.002819,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.002818999999999683,0,17,41,0,0,0,-1
4,1.154382,0,2,120,3,0.0,2.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.1572009999999997,0,18,41,0,0,0,-1
4,0.003836,0,3,2,5,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0038359999999997285,0,19,41,0,0,0,-1
4,0.008772,0,2,2,6,2.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.012607999999999286,0,20,41,0,0,0,-1
4,0.003496,0,3,2,7,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0034960000000001656,0,21,41,0,0,0,-1
4,0.762765,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7662610000000001,0,22,41,0,0,0,-1
4,0.003943,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.003942999999999586,0,23,41,0,0,0,-1
4,1.101852,0,2,120,3,0.0,2.0,0,1.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.1057949999999996,0,24,41,0,0,0,-1
4,0.004461,0,3,2,5,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.004461000000000048,0,25,41,0,0,0,-1
4,0.00484,0,2,2,6,2.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.009300999999999782,0,26,41,0,0,0,-1
4,0.00399,0,3,2,7,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.003989999999999938,0,27,41,0,0,0,-1
4,0.344438,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.3484279999999993,0,28,41,0,0,0,-1
4,0.004175,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.00417500000000004,0,29,41,0,0,0,-1
4,1.338859,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.3430339999999994,0,30,41,0,0,0,-1
4,0.002871,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.002871000000000734,0,31,41,0,0,0,-1
4,7.905092,0,2,40,8,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7.9079630000000005,0,32,41,0,0,0,-1
4,0.005675,0,3,4,9,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.005675000000000097,0,33,41,0,0,0,-1
4,1.543886,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.5495610000000006,0,34,41,0,0,0,-1
4,0.004243,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0042429999999988866,0,35,41,0,0,0,-1
4,0.988333,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.9925759999999997,0,36,41,0,0,0,-1
4,0.003047,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0030469999999986896,0,37,41,0,0,0,-1
4,1.464726,0,2,37,10,2.0,0.0,0,65526.0,1,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.4677729999999976,0,38,41,0,0,0,-1
4,0.002562,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0025620000000010634,0,39,41,0,0,0,-1
4,2.247705,0,2,0,14,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.250267000000001,0,40,41,0,0,0,-1
5,0.0,0,2,129,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,38.0,0.0,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,21,1,0,0,-1
5,0.011052,0,3,19,2,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.011052,0,1,21,0,0,0,-1
5,0.008352,0,2,96,3,0.0,0.0,0,0.0,0,38.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.019403999999999998,0,2,21,0,0,0,-1
5,0.734228,0,2,96,3,0.0,0.0,0,0.0,0,38.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.734228,0,3,21,0,0,0,-1
5,0.847689,0,2,43,10,2.0,0.0,0,65526.0,1,38.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.847689,0,4,21,0,0,0,-1
5,0.00621,0,3,4,11,0.0,0.0,0,65526.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.006210000000000049,0,5,21,0,0,0,-1
